2025-12-01 09:34:04 | logoff | initiated | sent
2025-12-01 09:41:59 | backup | backup dest=D:/Backups | success
2025-12-01 09:42:44 | backup | backup dest=D:/Backups | success
2025-12-01 09:42:54 | backup | backup dest=D:/Backups | success
2025-12-01 09:43:48 | backup | backup dest=D:/Backups | success
2025-12-01 09:58:06 | backup | backup dest=D:/Backups | success
2025-12-01 09:58:20 | backup | backup dest=D:/Backups | success
2025-12-01 09:59:22 | backup | backup dest=D:/Backups | success
2025-12-01 09:59:30 | backup | backup dest=D:/Backups | success
2025-12-01 09:59:35 | backup | backup dest=D:/Backups | success
2025-12-01 10:01:36 | backup | backup dest=D:/Backups | success
2025-12-01 10:01:51 | backup | backup dest=D:/Backups | success
2025-12-01 10:02:00 | backup | backup dest=D:/Backups | success
2025-12-01 10:14:06 | backup | backup dest=D:/Backups | success
2025-12-01 10:14:26 | backup | backup dest=D:/Backups | success
2025-12-01 10:17:53 | backup | backup dest=D:/Backups | success
2025-12-01 10:18:17 | backup | backup dest=D:/Backups | success
2025-12-01 10:18:52 | backup | backup dest=D:/Backups | success
2025-12-01 10:21:28 | backup | backup dest=D:/Backups | success
2025-12-01 10:22:10 | backup | backup dest=D:/Backups | success
2025-12-01 10:22:19 | backup | backup dest=D:/Backups | success
2025-12-01 10:22:39 | backup | backup dest=D:/Backups | success
2025-12-01 10:27:01 | backup | backup dest=D:/Backups | success
2025-12-01 10:27:27 | backup | backup dest=D:/Backups | success
